segment	oral	vfca	nasal	larynx	ac.1	ac.2	ac.3	ac.4	ac.5	ac.6	ac.7	ac.8	ac.9	ac.10	ac.11	ac.12	ac.13	ac.14	ac.15	ac.16	vt.1	vt.2	vt.3	vt.4	vt.5	vt.6	vt.7	vt.8	vt.9	vt.10	vt.11	vt.12	vt.13	vt.14	vt.15	vt.16
ɹ	-0.0670035439	0.9135408073	-0.2337175436	-0.09897498	3.0409657664	-3.4093447587	0.4322376845	-0.0167028848	-0.0644102578	-0.410481441	0.8236188448	-0.1590718456	-0.6197579814	-0.0906857831	0.1731099101	0.9829570449	-0.6243329161	-0.2330415824	0.0692087558	0.0075373436	-4.2297328228	0.0175539057	1.1956297366	2.797041919	1.9412911758	2.1997280348	-1.1032624581	-1.0698991701	0.5177513721	0.5179192651	0.036976898	-0.6295154249	-0.4441776474	-0.1128445775	-0.3487472722	-0.0084013587
ɡ	-0.6941739503	-0.0997959381	-0.4600087732	-1.113215664	1.3003721224	2.5725297546	0.3025357895	0.8105008421	0.2633574791	-0.1866705346	-0.3856174443	-0.3548568403	0.1545671207	0.0996911559	-0.2954666768	0.0059802993	0.0377778926	-0.233095734	-0.0213299338	0.022222461	1.1795391131	9.5160462572	-4.0002268079	0.3803181626	-1.7207329939	1.5554543208	-1.0376780931	0.3269615012	0.066877498	0.1747198479	0.2087353091	0.1011802133	-0.3128122474	-0.2142420874	-0.1506392854	-0.4253759247
ʈ	0.0903476927	-0.8634623045	-0.5036241531	-0.0593368538	-1.3924302041	1.2709851009	1.0545041165	2.0400488721	-0.9896736295	-0.606426528	0.7579292811	0.5344653448	-0.0619594967	0.237992633	-0.4700844638	-0.2270492871	0.0083571271	-0.0098211333	0.3112511954	-0.5312868161	2.1159528419	2.6483573121	1.4399966068	0.5847537776	0.0558411042	-0.942750828	-0.6282082162	-1.2212136028	0.2673259511	-0.5282277274	-0.0111075298	0.8978628014	0.8694446499	-0.0159567326	-0.0831710541	0.1113247719
ɾ	-0.1404940979	0.9493216897	-0.3211565579	-0.366563842	2.320596381	1.9904111085	-1.2665023282	-0.5681471565	-0.149620298	0.1301354731	0.1748664894	-0.2400980966	-0.4991148278	-0.2314519735	-0.3034501396	0.0181691076	-0.382025165	0.005213057	-0.2028144573	0.2036562498	-0.9374589982	-1.6654341612	-1.5363984615	0.5644458356	-1.1471829428	0.4124338797	1.006034162	0.1857630299	-0.4177816671	0.3365312417	-0.1710663505	0.2738913826	0.1475940359	0.220426876	-0.066863114	0.2725730064
ɽ	0.12805652	0.9915116746	-0.3125679301	-0.825554449	1.8159350697	1.4182776188	-0.9739363088	-0.1944002856	-0.4677285593	-0.4026371136	0.7996202724	0.2272809812	-0.2432270061	-0.1101998755	-0.7292517725	-0.0074039783	-0.5830111488	0.0228564439	0.0215151047	-0.3154447669	-1.181150715	-1.3520901056	0.2099974807	0.6232141952	-0.4959562492	-1.5907041363	-0.409447954	0.830807106	0.5823272666	-0.6636355047	0.1703641493	-0.2982368499	-0.1611203706	0.5809777545	-0.2039607876	-0.0863600064
a	-0.2437726951	0.5072537842	-0.0127078923	0.4080281165	2.5550180034	-3.3300733927	1.8007154815	-0.8847914815	-1.5668355624	0.3154404394	0.7137430322	-0.7078780644	-0.3216067832	-0.0625115463	0.6955527497	-0.3854476737	0.2709844683	-0.0301977777	-0.3630469496	-0.1606640454	-11.0426464836	-0.76238222	3.3361827909	3.8098412117	0.6898576807	1.6541097627	-0.3689834228	0.405093655	-0.1811894481	0.5032173611	-0.9166069243	-0.1152249471	-0.3872299596	0.3825582308	0.0643821349	-0.3317014764
æ	-0.3585723001	0.3445797982	-0.0460635978	0.829271656	2.3944680221	-1.8708031958	0.3871970533	-0.9686395383	-1.8562218198	-0.14105865	0.8088571479	-0.8004401488	-0.0922184887	0.4063032013	0.5020579414	-0.3601414966	0.2022977235	0.1036697158	0.1030758759	-0.0920353389	-8.5521021354	-0.6560981069	3.4081709972	0.4740559481	-0.8562318202	-0.2706753251	-0.477987919	-0.3049807815	-0.7256754454	0.0783960647	-1.0438884306	-0.580363638	-0.0332135279	-0.1044226515	0.4400918837	-0.2497243184
b	-0.7794424002	-0.1024459924	-0.5294687009	-0.5260533028	2.347056465	2.3485009421	0.9546646175	0.7197809192	0.3644102476	0.5723327536	-0.4099257198	0.4783379836	-0.6585579821	-0.0555645729	0.0315689492	0.0790853116	0.377149039	-0.4255815569	0.0618193465	0.2791028825	-3.3123065856	-0.4090556768	-0.0213549982	-6.5947506109	4.1073333885	0.9263974709	-0.8146177364	0.5632315278	-0.236676273	0.9158231066	-0.1174004418	0.356413765	-0.0600024666	0.4134992597	0.0096065944	-0.1868960041
c	-0.3492720335	-0.7146111166	-0.4812586481	-0.1375712584	-3.4593300093	2.0995215399	0.4514343712	2.1290668079	-0.7116821198	-0.3198249278	0.0272634567	-0.167465789	0.6205588537	0.6318295076	0.1921673243	-0.0045073897	-0.0684195543	0.4548962389	-0.4016241983	0.2345372259	12.3333492121	3.3212635006	2.4601585418	1.7845250715	1.8052422322	1.828487234	1.1942195231	-0.7065942195	-1.1803160093	0.612814827	0.4605879258	-0.0254751407	0.6910832574	-0.0006864856	-0.4748115046	-0.2577330434
d	-0.6799140833	0.0130583499	-0.5115826735	-0.7695513584	0.8107397182	3.6768790164	-1.0881319138	0.3787731118	-0.2567307524	0.5571694011	-0.1342099847	0.0296427421	-0.1347390189	-0.3973338404	0.1605795718	-0.1903033636	0.2544261137	-0.131932257	0.3072269629	0.2908578385	2.5653171876	-3.5668942329	-1.3497965329	0.7406764226	-0.876355029	-1.2776140513	-0.2382877165	0.9453579341	0.0547754412	0.4514483566	-0.2982092371	0.2305225158	0.1861420403	-0.0650474741	0.0128117281	0.5602686432
